ID,Built-In (no install),Online (no install),Need to install,Works w/o internet,FREE,Trial,Lifetime License,Subscription,Spare1,Reading,Writing,Exec / Focus,Cognitive,Vision,Braille,Hearing,Physical,Speech/Comm,Training / Therapy,Windows,Macintosh,Chromebook,iPad (iPadOS),iPhone (iOS),Android,(**online - mark all),Works with which OS versions,ID TAG,COMPANY,PRODUCT/FEATURE NAME,DESCRIPTION,VENDOR'S WEBSITE DESC LINK,YOUTUBE VIDEOS,AToD installer (short name),Data-Entry-Person NOTES,INTERNAL NOTES,AUDITOR NOTES
77,B,,,,F,,,,,,,,,,,,P,,,,,,P,I,,,iOS 9 & Up,apple_tap_assistance,Apple,Tap Assistance,"The Apple ""Tap Assistance"" feature is an accessibility tool in iOS that helps users who may struggle with precise or consistent tapping. It is part of the broader Touch Accommodations settings, which can be accessed in Settings > Accessibility > Touch > Touch Accommodations on an iPhone.",https://support.apple.com/en-us/111794,https://www.youtube.com/watch?v=sd4lPfxwjnU&ab_channel=SimpleAnswers,,,,
78,B,,,,F,,,,,R,,,C,V,,,,,,,M,,P,I,,,,spoken_content,Apple,Spoken Content,"Spoken Content includes a collection of features that enable your devices to read text out loud. Speak Screen reads the content of your entire screen aloud to you, while Speak Selection lets you select and hear a specific range of text. These features can even highlight words, sentences, or both in a customized color and style as they’re spoken. You can also control the pace of the reading more precisely during speech playback with Speech Controller. Or activate Typing Feedback to hear every letter you type. Spoken Content is available in more than 60 languages and locales, and its built-in voices can also be adjusted for settings such as pitch range.",https://support.apple.com/en-gb/guide/mac-help/spch638/mac,"https://www.youtube.com/watch?v=NE0VbLzi-uM&pp=ygUUYXBwbGUgc3Bva2VuIGNvbnRlbnQ%3D
https://www.youtube.com/watch?v=ppcusTHBo78&pp=ygUUYXBwbGUgc3Bva2VuIGNvbnRlbnQ%3D",,,,Someone already did this tool (row 17 - will have to delete this unfortunately)
79,B,,,,F,,,,,,,,,V,,,,,,,\,,P,I,,,,apple_increase_size_of_text,Apple,Text Size,"You can use accessibility features to change the weight, size, and darkness of text to make it easier to read on your iPhone screen. You can also have iPhone underline text you can tap",https://support.apple.com/guide/iphone/make-text-easier-to-read-iph3c076905a/17.0/ios/17.0,"https://youtu.be/N41B7AQd8eY
https://www.youtube.com/watch?v=_R0mpzMkSjI&pp=ygUYYXBwbGUgaW5jcmVhc2UgdGV4dCBzaXpl
https://www.youtube.com/playlist?list=PLIl2EzNYri0cLtSlZowttih25VnSvWITu
",,,,The link to the Youtube video is to the playlist and not the actual video therefore I found one that shows how to change text size https://youtu.be/_R0mpzMkSjI?feature=shared
80,B,,,,F,,,,,,,,,,,,P,,,,,,P,I,,,IOS 10 and later,apple_touchaccommodations,Apple,Touch Accommodations,"Touch Accommodations is a feature allowing users to change how the screen on their device responds to taps, swipes, and other gestures. The four main features that users can adjust includes hold duration, swipe gestures, ignore repeat, tap assistance, and tap assistance delay.",https://support.apple.com/en-us/102222,https://www.youtube.com/watch?v=_TTOhANVkrA,,,,
81,B,,,,F,,,,,,,,,,,H,,,,,M,,P,I,,,"iOS 7 and up, iPadOS 7 and up, macOS Yosemite (10.10) and up",apple_transparency_left_right_balance,Apple,Transparency Left/Right Balance,"The left/right balance feature on Apple devices adjusts the volume of the left and right speakers, headphones, or hearing aids.","https://support.apple.com/en-ie/guide/iphone/iphb80ab7516/ios#:~:text=Balance%20the%20audio,Balance%20slider%20left%20or%20right.",https://youtu.be/T2KkN50R7gw?si=vFyjiY5TDYWRvKGq,,,,- looks good!
82,B,,,,F,,,,,,,,,,,,,S,,,M,,P,I,,,,apple_type_to_siri_1,Apple,Type to Siri,"You can change how quickly or when Siri responds, use text to make requests to Siri, have Siri audibly share notifications, and announce and end calls.",https://support.apple.com/guide/iphone/change-siri-accessibility-settings-iphaff1d606/17.0/ios/17.0,"https://www.youtube.com/shorts/-3kafWDsZnk
https://www.youtube.com/watch?v=vEvC7iz6HDQ&pp=ygUSYXBwbGUgdHlwZSB0byBzaXJp
https://www.youtube.com/playlist?list=PLIl2EzNYri0cLtSlZowttih25VnSvWITu",,,,"Feature name seems incorrect - a bunch of actions possible as per vendor site provided. Suggestion - Siri Response Customization?
youtube video - entire playlist of accessibility features, not specific"
83,B,,,,F,,,,,,W,,C,V,B,,P,,,,M,,P,I,,,,apple_typingfeedback,Apple,Typing Feedback,"With Typing Feedback, your iOS, iPadOS or Mac device can give you feedback as you type as well as speak text corrections and word suggestions. On iOS and iPad devices, you can customize your typing feedback by read aloud by characters, adjusts character feedback speed, have it speak words, speak auto-text, or hold speaking predictions. 

On Mac, you can customize your speak typing feedback by choosing echoing by words, by characters, by selection changes, or by modified keys.
","https://support.apple.com/en-us/111784#:~:text=Set%20up%20Typing%20Feedback,phonetic%20name%20of%20the%20letter.","https://www.youtube.com/watch?v=N0uOVpYnSf4
https://youtu.be/RtOHo-aYSRM",,,,Duplicate : Row 378
84,B,,,,F,,,,,,,,,,,,P,,,,,,P,I,,,iOS 18 or later,vehicle_motion_cues,Apple,Vehicle Motion Cues,"Vehicle Motion Cues can help reduce motion sickness when using iPhone or iPad in a moving vehicle. This feature uses sensors built into the device to show dots on user screens that move with the motion of the vehicle to reduce sensory conflict, a common cause of motion sickness. These dots are designed to remain on the sides of the screen to avoid interfering with any content. Vehicle Motion Cues can be turned on manually in Control Center or set to automatically turn on when it senses vehicle motion.",https://www.apple.com/accessibility/vision/,https://youtu.be/-1OCtOfUMpo,,,,
85,B,,,,F,,,,,,W,,,,,S,P,,,,M,,P,I,,,"iOS 17 & iPhone 12 and up
macOS Sequoia 15",apple_vocalshortcuts,Apple,Vocal Shortcuts,"With Vocal Shortcuts, iPhone and iPad users can assign custom utterances that Siri can understand to launch shortcuts and complete complex tasks. Listen for Atypical Speech, another new feature, gives users an option for enhancing speech recognition for a wider range of speech. Listen for Atypical Speech uses on-device machine learning to recognize user speech patterns. Designed for users with acquired or progressive conditions that affect speech, such as cerebral palsy, amyotrophic lateral sclerosis (ALS), or stroke, these features provide a new level of customization and control.",https://support.apple.com/guide/iphone/use-vocal-shortcuts-iph7f242ea2c/ios,"https://www.youtube.com/watch?v=eAFQNW-FaUM
https://www.youtube.com/watch?v=lp6SiyJA0mU",,,,
86,B,,,,F,,,,,,,,,,,,P,,,,M,,P,I,,,iOS 13 or later,apple_voicecontrol,Apple,Voice Control,"Once you’ve downloaded Voice Control, you can use your voice on your iPhone to perform daily tasks even without an internet connection. Simply speak commands as you would tap the screen. For more precise control, say “Show grid” to display a numbered overlay. By saying a number from the grid, you can zoom in on that specific section, revealing a new set of numbers to help you select what you want.Voice Control isn't available in all countries or regions. Voice Control uses the Siri speech recognition engine for U.S. English only.",https://support.apple.com/en-us/111778,https://www.youtube.com/watch?app=desktop&v=eg22JaZWAgs,,,,"Apple voice control I believe would only be categorized under Physical due to the feature helping people with mobility challenges.
Feature is also availble on Mac as well."
87,B,,,,F,,,,,,,,,,,H,,,,,,,P,I,,,iOS 15 or later,apple_voice_isolation,Apple,Voice Isolation,"With voice isolation you can tweak the microphone settings to cut out background noise for a clearer voice, leave the background sounds on if you want both your voice and what's happening around you to be picked up, or let it automatically switch to the best mode for your situation.",https://support.apple.com/en-us/101993,https://www.youtube.com/watch?v=2uVgz8mUKng,,,,
88,B,,,,F,,,,,,,,,V,B,,,,,,M,,P,I,,,,apple_voiceover,Apple,VoiceOver,"VoiceOver is a screen reader that provides spoken descriptions of what's on your Apple device's screen, even if blind. It can help you use your device such as read text in documents and windows, describe what's on your screen, including the battery level, who's calling, or what item your finger is on. ","https://www.apple.com/voiceover/info/guide/_1121.html#:~:text=VoiceOver%20is%20a%20built%2Din,that's%20in%20documents%20and%20windows.","https://www.youtube.com/watch?v=ROIe49kXOc8
https://youtu.be/PW9nd4-4zSM?si=pMk10Anz5VroM3kl&t=11",,,,
89,B,,,,F,,,,,,,,,V,,,,,,,M,,P,I,,,,apple_zoom_in,Apple,Zoom,"The Zoom feature helps you see things better magnifying (or zooming in).  When the Zoom feature is turned on with an iPad or iPhone, you can zoom in on your sceen by double-tapping with three fingers. For example, you can double-tap or pinch to look closer in Photos or on web pages in Safari. You can use the Zoom feature to magnify the screen no matter what you're doing. On a Mac, you  can magnify the entire screen (Full Screen Zoom) or magnify only part of the screen with a resizable lens (Window Zoom). You can use Zoom together with VoiceOver.",https://support.apple.com/guide/iphone/zoom-in-iph3e2e367e/17.0/ios/17.0,"https://youtu.be/_vB0Xd8YCPI?feature=shared.
https://www.youtube.com/playlist?list=PLIl2EzNYri0cLtSlZowttih25VnSvWITu",,,,
90,,,I,,,,L,,,R,,E,C,,,,,,,,M,,,,,,macOS 10.15 or later,glide,Applorium Ltd,Glide,Glide is a focus pointer which dims parts of your screen for better focus and reading experience. You can also customise your indicator. to highlight sentences or area on the screen that you want to focus on. You can still interact with everything on your screen while the app is active. There is a variety of indicator styles for you to choose from. ,https://indiecatalog.app/app/1593045116/glide-focused-reading,,,,N/A [can't find any video],"1. Add a youtube video. Make sure the vendor link takes you to the home page for the tool (https://indiecatalog.app/app/1593045116/glide-focused-reading) not app store.  ✔

Remove N/A from column AE.  

The tool could also help people coginitively.  ✔"
91,,,I,,F,,,,,,,,C,,,,,S,,,,,P,I,A,,"iOS and iPadOS 8.0 or later, macOS 11.0 or later and a Mac with Apple M1 chip or later, Android version 4 and higher",letmetalk,Appnotize UG,LetMeTalk,"LetMeTalk allows you to read a row of photos as a sentence by arranging the images in a meaningful way. You can also use the built-in camera to take new pictures or upload the and since LetMeTalk doesn't require an internet connection you can use it practically anywhere, even in nursing homes, schools, and hospitals. LetMeTalk is supported by donations.  ",https://www.autismconnect.com/resources/apps/app/13,https://www.youtube.com/watch?v=lVp-EHuYkgA,,The website indicates that there is a free android version of the app but I can't seem to find it in google play only on a third party website. ,,"missing iPadOS, iOS usually refer to iphone only. I can only find this android version from third party web not from google play(https://letmetalk.en.aptoide.com/app), is that possible that they no longer provide android version just someone who still have the app and upload to the internet for user to download. "
92,,,I,,F,,,S,,,,,,,,,,S,,W,,,P,I,A,,"IPhone and IPad requires IOS 12.0 or later, Android 7.0 or later",cboard_assistive_communication,Assistive Communication LLC ,Cboard ACC,"Cboard is an open-source app to assist with speech and language, aiding communication with symbols and text-to-speech.",https://www.cboard.io/en/,https://www.youtube.com/watch?v=pW1hRkibfps&t=16s,,,,
93,,,I,,,T,L,,,,,,,,,,,S,,,M,,P,I,,,iOS 12 or later,proloquo,AssistiveWare,Proloquo,Helps non-verbal individuals or those with speech impairments communicate using pictures and symbols,https://apps.apple.com/us/app/proloquo/id1521978238,https://www.youtube.com/watch?v=qLrjpA8Y0M4&list=PLwsltfWrCHQzJMNWahDPtvQTyHNkasuXF,,,,
94,,,I,,,,L,,,,,,,,,,,S,,,,,P,I,,,,proloquo2go,AssistiveWare,Proloquo2Go,"Proloquo2Go is an augmentative and alternative communication app designed to help individuals with speech impairments communicate more effectively. It is widely used by people with conditions such as autism, cerebral palsy, Down syndrome, and other speech-related disabilities. The app provides a customizable, symbol-based communication system that allows users to build and speak sentences using images and text. It is a versatile tool that allows voice output, personalized vocabulary, and adaptability for different skill levels.",https://www.assistiveware.com/products/proloquo2go,"https://www.youtube.com/watch?v=snfzmLeulp8
https://youtu.be/snfzmLeulp8?si=woKB6PR7kd4OCgfu",,,,
95,,,I,,,,L,,,,,,,,,,,S,,,M,,P,I,,,"macOS 12.5 or later, iOS 15.6, and watchOS 9 or later",assistiveware_proloquo4text,AssistiveWare,Proloquo4Text,"Proloquo4Text is a learning tool that focuses on text-based communication, allowing users to type their messages and have them spoken aloud by the app. It offers predictive text features to speed up the typing process, as well as a variety of languages and voices you can choose from.",https://www.assistiveware.com/products/proloquo4text,https://youtu.be/goG3epV1J6Q?si=_imkX1NCUHu2mmL6,,,,1. Also available on macOS (macintosh)
96,,,I,,,,L,,,,,,,,,,,S,,,,,P,I,,,iOS 11.0 or later,attainment_gotalknow,"Attainment Company, Inc",GoTalk NOW,"Help individuals with speech and language challenges communicate more effectively through features like text-to-speech, customizable vocabulary, touchscreen interface, and portable design",https://apps.apple.com/us/app/gotalk-now/id454176457,https://youtu.be/jk3nvYBQ06A?si=HX1yGSNULBYfwSzM,,,,
97,,,I,,F,,,S,,,,,C,V,B,,,,,W,M,,,,,,,audiblesight_audio_des,Audible Sight,Audio Description,"Audio Description provides the visual information that is needed to understand the content of a video.It involves the narration of key visual elements, such as actions, settings, facial expressions, and other relevant details, to provide a comprehensive audio representation of what is happening on the screen.",https://www.audiblesight.ai/audiodescription,https://youtu.be/8LmqASJj2Dc?si=aYGqELJrfsdYIjfY,,,,Is this browser based? From the website I could not tell how this works. Can that be inlcuded in the descrption.
98,,,I,,F,,,,,,,,,,,,P,,,W,,,,,,,,autohotkey,Auto Hotkey,AutoHotKey,"AutoHotkey is a free, open-source scripting language for Windows that allows users to easily create small to complex scripts for all kinds of tasks such as: form fillers, auto-clicking, macros, etc.",https://www.autohotkey.com/,https://www.youtube.com/watch?v=lxLNtBYjkjU,,,,"I could see its potential for physical accessibility needs, but I am not sure how this would support cognitive or vision accessibility.

The video demo might be a little too long, but it might be warranted, especially considering the technical skills required to personalize this tool."
99,,,I,,F,TT,L,S,,,,,,,,,,S,,,M,,P,I,A,,"iOS 14.0 or later iPadOS 14.0 or later.
iOS 14.0 or later.
macOS 11.0 or later and a Mac with Apple M1 chip or later.
visionOS 1.0 or later.",avaz_aac,Avaz Inc.,Avaz AAC,"Avaz AAC is an augmentative and alternative communication (AAC) app designed to help individuals with speech and language disabilities communicate more effectively. Developed for people with autism, cerebral palsy, Down syndrome, and other conditions affecting communication, Avaz AAC offers a range of customizable tools and features to support language development and facilitate social interaction. Available on both iOS and Android devices, the app is widely used by children and adults alike.",https://avazapp.com/,"https://www.youtube.com/@avazapp
https://www.youtube.com/watch?v=HUK0ekwR0MQ",,Added extra YT link for shorter more direct tutorial,,helps those with speech diasabilities as well
100,,,I,,F,TT,L,S,,,W,,,,,,,S,T,,M,,P,I,A,,"iOS 14.0 or later iPadOS 14.0 or later.
iOS 14.0 or later.
macOS 11.0 or later and a Mac with Apple M1 chip or later.
visionOS 1.0 or later.",avaz_freespeech,Avaz Inc.,Avaz FreeSpeech,"FreeSpeech helps anyone with learning languages and grammar skills. Drag and rearrange picture tiles, and FreeSpeech will convert them into a perfectly grammatical english sentence. It’s a great sentence composition tool for students. Explore how tenses, sentence forms, parts of speech, and other grammatical properties change the structure of English — and it’s all visual.",https://avazapp.com/products/avaz-freespeech/,"https://www.youtube.com/@avazapp
https://www.youtube.com/watch?v=XH_bqn10Xkk",,Added shorter video tutorial to create a sentence and Free trial,,This link might have a shorter and a specific example hightligting what the app does instead of the ted talk link used which is informative but a bit long. https://www.youtube.com/@avazapp     There is a free 2 week trial available as well.
101,,,I,,F,TT,L,S,,R,,,,,,,,,T,,M,,P,I,A,,"iOS 14.0 or later iPadOS 14.0 or later.
iOS 14.0 or later.
macOS 11.0 or later and a Mac with Apple M1 chip or later.
visionOS 1.0 or later.",avaz_reader,Avaz Inc.,Avaz Reader,"Avaz Reader is a reading app that offers exciting stories and evidence-based support to kids of all ages. It is a great tool to develop their reading fluency and independent reading. Designed for children with dyslexia and first-generation English speakers, the app provides hints and help every step of the way.",https://avazapp.com/products/mda-avaz-reader/,"https://www.youtube.com/@avazapp
https://www.youtube.com/watch?v=zNSmkZNpO_c",,Added extra YT link for shorter more direct tutorial,,there is a free trial but have to make a purchase after trial
102,,,I,,F,T,,S,,R,,,,V,,,,,,,M,,,I,A,,"iOS 15.0 or later, macOS 12.0 or later and a Mac with Apple M1 chip or later, Android
7.0 and up",synthy,Awared SLU,Synthy,"Synthy is a reading assistant that converts text into audio, allowing users to scan and listen to documents in formats like docx, PDF, and EPUB. It offers different AI voices, adjustable reading speeds, and the ability to read both scanned and typed text aloud. Users can also import files or convert web links into audio for convenient listening. Synthy also supports background mode, enabling continuous listening while the phone is locked.",https://synthy.app/,,,,N/A,
103,,,I,,F,,,,,,,,,V,B,,,,,,,,P,I,A,,"iOS 13.6 or later, iPadOS 13.6 or later; visionOS 1.0 or later; Android
5.0 and up",bemyeyes_mobile_tablets,Be My Eyes,Be My Eyes - Mobile,"Be My Eyes is a free app that connects people who are blind or have low vision with sighted volunteers or company representatives for visual assistance. Using a live video connection, it allows users to get real-time help with tasks such as reading labels, figuring out complex computer screen layouts, navigating unfamiliar environments, or identifying objects. Volunteers speak 185 languages and are available – for free – 24 hours a day, 7 days a week. The AI assistant Be My AI can generate vivid descriptions of images and scenes and answer user questions about them without connecting to a volunteer.        ",https://www.bemyeyes.com/mobile-app,https://youtu.be/dbHIayduiss,,Google Play lists compatibility with Android 5.0 and up,,"App is not just for mobile(tabs + ipad), the ID tag can change. ✔ 

Android compatibility 4.4 and later. 

Important features of product missing in description: AI assistance, service directory of accessible service and help desks of leading organizations ✔"
104,,,I,,F,,,,,,,,,V,B,,,,,W,,,,,,,Windows 10 version 19041.0 or higher,bemyeyes_windows,Be My Eyes,Be My Eyes for Windows,"Be My Eyes for Windows is a free app that uses AI to help users interpret and describe visual content on their Windows desktop. The app provides detailed descriptions of images, documents, and user screens, including application interfaces and web pages. Users can also chat with the AI to ask follow-up questions of what's being described. Additionally, the app can also help users prepare for video calls by describing how they appear on camera, like if they are centered or checking the lighting conditions. ",https://www.bemyeyes.com/be-my-eyes-for-windows,https://youtu.be/dbHIayduiss,,"The developer website directs users to the Denmark MSFT App Store, here's the same app in US Store https://apps.microsoft.com/detail/9msw46ltdwgf?hl=en-us&gl=US",,available as a Beta version for windows 10/11 ✔
105,,,I,,,T,,S,,R,,,,,,,,,,W,M,C,P,I,,,Requires iOS 15.0 or later. Can work on android as well but has many steps to get it to work and install other files that can add to your standard android browsers,beelinereader,BeeLine Reader,BeeLine Reader,"BeeLine Reader is a research-backed tool that improves reading ability for students of all ages and skill levels. BeeLine's eye-guiding color gradients improve focus and can also reduce screen fatigue, which is especially important for students who are distance learning.",https://www.beelinereader.com/education,https://www.youtube.com/watch?v=Zw47KuMrYbo,,,,Requires iOS 15.0 or later.  ✔ Can work on android as well but has many steps to get it to work and install other files that can add to your standard android browsers  ✔
106,,,I,,,T,L,,,,,,,,,,P,,,W,,,,,,,"Compatible with Windows XP, Windows Vista, Windows 7, Windows 8 and Windows 10.",be_key,beENABLED,beKEY,"beKey is an on screen keyboard. It is customizable in size and spacing of keys, has word prediction, only uses a single click or hover mode, and a deluxe version for special keys and scanning mode. beKey also supports inputs, such as headmouse, eye control, and joystick. intelligent word prediction, already trained using more than 1000 letters, emails and speeches ..and it keeps learning as you type.  Our word prediction will not only offer suggestions to complete the word you're currently typing, but also for the complete next word. It has word prediction dictionaries in 23 languages.  Some options/settings include: Total size, size of key caps, distance between key caps, font size.  I has been optimized to be used with one click only (no double clicks, no drag and drop). It supports click mode and dwell (""hover"") mode.  Other features include: ""Skin"" mode for customized looks with graphics (all versions); Transparent display; Special keys for frequently used tasks (deluxe versions only); Scanning modes for 1 or 2 switches (deluxe SCAN version only).  Supports different pointing inputs such as headmouse, eye control, and joystick",https://www.be-enabled.de/en/products-bekey.php,N/A,,,"There is no Youtube video available.Theres incomplete feature descriptions, doesnt go into much detail.",
107,,,I,,,T,,,,R,,,,,,,,,,W,M,C,P,I,A,,Alexa,bookshare,Benetech,Bookshare Reader,"Bookshare reader is a reading tool for individuals who have difficulty accessing traditional printed text. Users can access and read over a million books, including textbooks, novels, and other educational materials, in a variety of formats like audio, braille, and large print. The reader offers customizable features such as adjustable text size, font, and reading speed, along with options for high-quality text-to-speech. ",https://www.bookshare.org/bookshare-reader,"https://www.youtube.com/watch?v=yvJPj0REK4w&t=2s
https://www.youtube.com/watch?v=XO1osWv9wkc&t=0s",,,,
108,,,I,,,,,S,,R,,,,V,B,,,,,,,,,,A,,Android: 4.0 and up.,shouter_pro_theannouncer,BHK,Shouter Pro - The Announcer,"An app that announces caller names while the phone is ringing and announces missed calls. It also reads text messages. The main features include notification reading (for Jellybean 4.3 and above), time announcement at user-defined intervals, battery status announcement, device charging state announcement, and voice reminders.",https://play.google.com/store/apps/details?id=com.bhkapps.proshouter&hl=en,https://www.youtube.com/watch?v=JnrykcXbgEw,,,,
109,,,I,,F,,L,,,,,,C,V,B,,P,,,,,,,,A,,Android 2.1 or higher,big_launcher,BIG Launcher,BIG Launcher,"The BIG Launcher app makes smartphones easy to use for the legally blind, elderly, and those who face difficulties with movement or eye illnesses. Users who have trouble seeing and those with technological difficulties can easily use this straightforward interface. It offers stress-free navigation has an SOS button, which has the power to save lives.",https://biglauncher.com/,https://youtu.be/WTDcs7R8GwE?feature=shared,,,,"On Google, it says that it says its compatible with Android 2.1 or higher. Change the word impairments in description. Sounds a little to salesy (I would try to write it more in your own words, instead of the exact description on the page)"
110,,,I,,F,,,S,,,W,,C,,,,P,,,W,M,,P,I,A,,Windows 11 or Windows 10,braina,Brainasoft,Braina,"Braina is an AI-powered voice recognition software that enables users to interact with their computers through voice commands. This tool allows users to dictate text, perform online searches, and automate repetitive tasks, improving productivity and accessibility. With Braina, users can easily manage applications, navigate their systems, and execute commands hands-free, making it an ideal solution for individuals looking to streamline their workflows or those who may have difficulty using traditional input methods.",https://www.brainasoft.com/braina/speech-to-text.html,https://www.youtube.com/watch?v=SSo1cHKxHSM,,,,Added mobile device and Mac to available platforms. Appt store on Mac has low volume ratings so sure how positive the Mac only version would be for desktop.
111,,,I,,F,,,,,R,W,E,,,,,,,,W,,C,,,A,,Windows 10 or later,my_study_bar4_1,"CALL Scotland, University of Edinburgh",MyStudyBar 4.1,"MyStudyBar is intended to help with things like organizing, structuring thoughts and ideas, as well as reading and writing. Although this tool was made to help students with literacy problems such as dyslexia, the toolbar has the potential to assist all students. It may help learners organize and arrange their thoughts, employ color overlays to reduce visual stress, listen to digital information read aloud, and enhance typing abilities.",https://www.callscotland.org.uk/mystudybar/,https://www.youtube.com/watch?v=jsP9jHRtqYE,,"the first link is to the vendor page and the link in parenthesis is the download link, I'm not sure why the link woulndn't open on Chromebooks",,"In description, ""is intended to"" was used in two consecutive sentences, could consider revising. The first sentence could also be a little confusing.

The file download seems to be an exe file, which wouldnt work on Chromebooks - please double check?

This tools needs to be installed instead of system built in."
112,,,I,,F,,,,,,,,,,,,P,,,W,,,,,,,"Windows 10, 8.1, 8, 7, Vista, or XP",camera_mouse,Camera Mouse,Camera Mouse,Camera Mouse is a free program that allows you to control the mouse pointer on a Windows computer just by moving your head. Clicking can be done by making the mouse pointer dwell over a spot on the screen (after first turning Clicking on in Settings),http://www.cameramouse.org/index.html,https://youtu.be/x-y-7Cvm0k4?feature=shared,,,,
113,,,I,,,,,S,,R,,,,,,,,,T,W,M,C,P,I,A,,"iOS 14.0 or later, macOS 11.0 or later, and an Apple M1 chip or newer",capti_accomodate,Capti,Accomodate,"Capti Accommodate provides modifications for English Language Learners (ELs) and students with learning or print disabilities, as part of IEP and Section 504 accommodation. The software allows students to listen to online content using high-quality text-to-speech and make visual adjustments. The tool defines English terms, translates words and paragraphs into over 100 languages, and lets you save webpages for later reading on your PC, iPhone, or iPad.",https://www.captivoice.com/capti-site/public/entry/accommodate,https://www.youtube.com/watch?v=thIedVCQ_QQ&pp=ygUFY2FwdGk%3D,,,,"1. Suggested grammar change: ""Capti Accommodate provides modifications for English Language Learners (ELs) and students with learning or print disabilities, as part of IEP and Section 504 accommadation. The software allows students to listen to online content using high-quality text-to-speech and make visual adjustments. The tool defines English terms, translates words and paragraphs into over 100 languages, and lets you save webpages for later reading on your PC, iPhone, or iPad.""
2. To ask Crystal, but do we want to include tools for instructors, or focus on tools for students?"
114,,,I,,F,,,,,R,,,,,,,,,,W,M,,,,,,"Windows 64-bit Windows 8, 7, and Vista. Mac OS X 10.Yosemite, Mojave",centralaccessreader,Central Washington University,Central Access Reader,"Central Access Reader (CAR) is a free, open source, text-to-speech application designed specifically for students with print-related disabilities. CAR reads Microsoft Word documents and pasted text using the voice installed on your computer. CAR has an intuitive interface and many customizable features.",https://www.cwu.edu/student-life/student-support/central-access/resources/reader.php,https://www.youtube.com/watch?v=RkO1lvx2Ik8,,,N/A,
115,,,I,,,T,,S,,,,,C,,,,P,S,,W,M,,P,I,A,,,cephable,Cephable,Cephable Educational,"Cephable is private, accessible, and productive AI software that empowers K-12 students to take control of their digital experiences. With advanced voice & dictation controls, head movements, and custom quick action buttons, Cephable offers out-of-the-box adaptability, all without extra hardware. It works seamlessly with hundreds of apps and programs students already use on your PC or Mac.  

Cephable Personal is for individuals to use in their personal lives. Not for use on work issued devices or professional settings.  

Cephable Education is for students in K-12 settings to boost their engagement and level the playing field for digital access for both general & special education.  

Cephable Plus is made for individuals who want more power than Cephable Personal. It adds enhanced productivity tools and automation features to streamline workflows across the applications you rely on every day—personally and professionally. 

Cephable Professional optimizes workflows in the workplace or for students in post-secondary education. ",https://cephable.com/,"https://www.youtube.com/watch?v=oR5dKHr1hPE
https://www.youtube.com/watch?v=DMOd55PITm0
https://www.youtube.com/watch?v=WTJzKIWdL-I
https://youtu.be/XVTDwPimfWM?si=EBG_kIQxKtn58RJZ
https://www.youtube.com/watch?v=44tMc1t93vE&list=PLnmD_uBB1QDmO6ETk0ZcKatlbvfuoDJmr&index=8",,,,
116,,,I,,F,,,,,R,,,,V,B,,,,,W,M,,,,,,"Latest versions of macOS, Windows 10 and 11",fire_vox,Charles L. Chen,Fire Vox,"Fire Vox is an open-source, freely available talking browser extension for the Firefox web browser. It is a screen reader designed to accommodate different users with different needs. Additionally, all Fire Vox commands are keyboard activated and its highlighting feature makes it easy to keep track of where it is reading from on a page.",http://www.firevox.clcworld.net/about.html,,,,There is no YouTube video online.,
117,,O,,,F,T,,S,,R,,,,,B,,,,,W,M,C,P,I,A,O,iOS 14.0 or later; iPadOS 14.0 or later,capti,Charmtech Labs LLC,Capti,"Capti is a reading and learning tool that helps users interact with digital text in multiple ways. It uses text-to-speech technology to read aloud any content in e-books, documents or web pages. The app also offers customization options for improved readability, and provides other functions like note-taking, highlighting, and translations.",https://www.captivoice.com/capti-site/public/entry/personal,"https://youtu.be/YYJ1sREckeI?si=NxZ5iL0QwovqN7h4
https://youtu.be/CiDpbrA1PZs?si=kIKEMegqixNjtC8X
https://youtu.be/eBjnt3vq_d8?si=BQdLsJ2ekrnk2aTF
https://youtu.be/xBbmnNZsTaY?si=KtLBapqNR-vjHNbk
https://www.youtube.com/watch?v=xBbmnNZsTaY",,Reader features could also potentially support cognitive accessibility needs,"this is also a web app
there is also a tutorial for the chrome extension: https://youtu.be/CiDpbrA1PZs?si=qjukx_PAoZGPOCYZ",
118,,,I,,F,,,,,,,,,,,H,,S,,,,,,,A,,Android 5.1 (Lollipop) and above,cisano_virginia_helps_the_disabled,Cisano,Virginia Helps the Disabled ,The Virginia helps the disabled app is a communicator app that can help people who have difficulty using language to communicate. ,https://play.google.com/store/apps/details?id=app.virginia.firstrelease&hl=en_US,,,,"no youtube video, Italian company ",
119,,,I,,F,,,,,,,,,V,,,,,,,,,P,I,,,"iOS 11.0 or later, iPadOS 11.0 or later",claro_magx,Claro Software Limited,Claro MagX,"Claro MagX is an digital magnifier app. It offers a wide range of magnification, high contrast, and color viewing options to help reduce user eye strain. Users can read small text in books and newspapers, examine and photograph tiny objects and labels, or view menus in dimly lit restaurants. ",https://apps.apple.com/us/app/claro-magx/id653398060,,,No official or user video available,N/A,"magnifier and contrast app - might not apply to cognition.  ✔

Youtube video not available. "
